,,,,,,,Daily Price Arrival Report-07-11-2025 to 07-02-2026 for Uttar Pradesh,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Potato,Potato,Local,600.00,800.00,800.00,Rs./Quintal,37.80,Metric Tonnes,16-01-2026
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Potato,Potato,Medium,800.00,"1,000.00","1,000.00",Rs./Quintal,95.90,Metric Tonnes,15-12-2025
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Potato,Potato,Local,600.00,800.00,800.00,Rs./Quintal,36.10,Metric Tonnes,15-01-2026
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Potato,Potato,Medium,800.00,"1,000.00","1,000.00",Rs./Quintal,106.00,Metric Tonnes,14-12-2025
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Potato,Potato,Local,600.00,800.00,800.00,Rs./Quintal,19.10,Metric Tonnes,12-01-2026
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Potato,Potato,Medium,800.00,"1,000.00","1,000.00",Rs./Quintal,62.90,Metric Tonnes,11-12-2025
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Potato,Potato,Local,600.00,800.00,800.00,Rs./Quintal,32.10,Metric Tonnes,10-01-2026
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Potato,Potato,Medium,800.00,"1,200.00","1,000.00",Rs./Quintal,65.90,Metric Tonnes,09-12-2025
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Potato,Potato,Local,600.00,800.00,800.00,Rs./Quintal,21.40,Metric Tonnes,09-01-2026
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Potato,Potato,Medium,800.00,"1,200.00","1,000.00",Rs./Quintal,85.00,Metric Tonnes,06-12-2025
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Potato,Potato,Medium,800.00,"1,200.00","1,000.00",Rs./Quintal,121.00,Metric Tonnes,05-12-2025
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Potato,Potato,Local,600.00,800.00,800.00,Rs./Quintal,36.50,Metric Tonnes,05-01-2026
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Potato,Potato,Local,600.00,800.00,800.00,Rs./Quintal,11.00,Metric Tonnes,04-02-2026
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Potato,Potato,Local,500.00,800.00,700.00,Rs./Quintal,42.10,Metric Tonnes,01-01-2026
Uttar Pradesh,Agra,Jagnair APMC,Vegetables,Potato,Desi,FAQ,700.00,800.00,750.00,Rs./Quintal,2.00,Metric Tonnes,24-12-2025
Uttar Pradesh,Agra,Jagnair APMC,Vegetables,Potato,Desi,FAQ,700.00,800.00,750.00,Rs./Quintal,2.00,Metric Tonnes,23-12-2025
Uttar Pradesh,Agra,Jagnair APMC,Vegetables,Potato,Desi,FAQ,700.00,800.00,750.00,Rs./Quintal,2.80,Metric Tonnes,22-12-2025
Uttar Pradesh,Agra,Jagnair APMC,Vegetables,Potato,Desi,FAQ,700.00,800.00,750.00,Rs./Quintal,2.00,Metric Tonnes,20-12-2025
Uttar Pradesh,Agra,Jagnair APMC,Vegetables,Potato,Desi,FAQ,700.00,800.00,750.00,Rs./Quintal,3.00,Metric Tonnes,19-12-2025
Uttar Pradesh,Agra,Jagnair APMC,Vegetables,Potato,Desi,FAQ,600.00,700.00,650.00,Rs./Quintal,1.00,Metric Tonnes,07-01-2026
